date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:34	263/263	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Sep%202021%2011:34:26%20GMT	http://themepixels.me/demo/bracketplus1.4/app/template	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/template.0.delayed	(from )
14:34:35	66465/66465	---M-Z	200	added ('OK')	text/html	etag:%22a22843-103a1-5aa82c4fb0ba1-gzip%22	http://themepixels.me/demo/bracketplus1.4/app/template/	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/template/index.html	(from )
14:34:35	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Sep%202021%2011:34:27%20GMT	http://themepixels.me/robots.txt		(from )
14:34:36	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Sep%202021%2011:34:28%20GMT	http://themepixels.me/bracketplus/img/bracketplus-social.png	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/bracketplus/img/bracketplus-social.png	(from http://themepixels.me/demo/bracketplus1.4/app/template/)
14:34:37	51215/51215	---M--	200	added ('OK')	text/css	etag:%22a2353f-c80f-5aa83ccca32f7%22	http://themepixels.me/demo/bracketplus1.4/app/lib/@fortawesome/fontawesome-free/css/all.min.css	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/lib/@fortawesome/fontawesome-free/css/all.min.css	(from http://themepixels.me/demo/bracketplus1.4/app/template/)
14:34:38	51284/51284	---M--	200	added ('OK')	text/css	etag:%22a23119-c854-5aa837c4efbfb%22	http://themepixels.me/demo/bracketplus1.4/app/lib/ionicons/css/ionicons.min.css	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/lib/ionicons/css/ionicons.min.css	(from http://themepixels.me/demo/bracketplus1.4/app/template/)
14:34:40	6009/6009	---M--	200	added ('OK')	text/css	etag:%22a22dc0-1779-5aa831a80db23%22	http://themepixels.me/demo/bracketplus1.4/app/lib/rickshaw/rickshaw.min.css	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/lib/rickshaw/rickshaw.min.css	(from http://themepixels.me/demo/bracketplus1.4/app/template/)
14:34:41	15180/15180	---M--	200	added ('OK')	text/css	etag:%22a231cc-3b4c-5aa8387dae6c4%22	http://themepixels.me/demo/bracketplus1.4/app/lib/select2/css/select2.min.css	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/lib/select2/css/select2.min.css	(from http://themepixels.me/demo/bracketplus1.4/app/template/)
14:34:47	66465/66465	---M-Z	200	added ('OK')	text/html	etag:%22a22843-103a1-5aa82c4fb0ba1-gzip%22	http://themepixels.me/demo/bracketplus1.4/app/template/index.html	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/template/index-2.html	(from http://themepixels.me/demo/bracketplus1.4/app/template/)
14:34:50	56194/56194	---M-Z	200	added ('OK')	text/html	etag:%22a2287b-db82-5aa82c80aa70b-gzip%22	http://themepixels.me/demo/bracketplus1.4/app/template/mailbox.html	C:/Mes%20Sites%20Web/Bracket%20plus/themepixels.me/demo/bracketplus1.4/app/template/mailbox.html	(from http://themepixels.me/demo/bracketplus1.4/app/template/)
